Student_ID,Age,Gender,State_of_origin,School_location,Distance_from_home_km,Jamb_score,O_level_credits,Current_cgpa,Cgpa_trend,Attendance_rate,Fee_payment_status,Has_scholarship,Works_part_time,Family_income_bracket,Parent_education_level,Failed_courses_count,Asuu_strike_semesters,Mental_health_support,Course_load,Dropout
STU0063,25,Female,Benue,Rural,88,193,8,1.0,Declining,45.7,Owing,0,0,Low,No formal,4,2,0,18,1
STU0064,20,Male,Delta,Urban,30,295,7,3.59,Improving,93.2,Partial,0,0,Middle,Secondary,0,0,0,13,0
STU0065,25,Male,Kwara,Urban,163,144,6,1.0,Declining,46.5,Paid,0,1,Middle,Secondary,3,3,0,13,1
STU0066,26,Male,Cross River,Rural,99,250,7,1.44,Declining,47.1,Owing,0,0,Low,Primary,3,2,0,17,1
STU0067,25,Male,Plateau,Urban,70,228,8,2.51,Stable,70.2,Partial,0,0,Middle,No formal,2,0,0,13,1
STU0068,26,Female,Cross River,Urban,77,204,8,1.45,Stable,66.9,Partial,0,1,Low,Secondary,4,3,1,17,1
STU0069,23,Male,Akwa Ibom,Urban,19,189,5,1.99,Stable,65.3,Owing,1,0,Middle,Secondary,4,1,0,22,1
STU0070,24,Female,Enugu,Urban,121,141,7,1.0,Declining,54.5,Paid,0,0,Low,Secondary,3,2,0,13,1
STU0071,22,Female,Cross River,Urban,19,197,7,2.18,Stable,95.4,Paid,0,0,High,Tertiary,1,2,0,15,0
STU0072,22,Male,Akwa Ibom,Urban,20,338,8,4.38,Improving,88.2,Partial,0,0,Middle,Secondary,0,1,0,18,0
STU0073,20,Male,Anambra,Urban,59,355,6,4.83,Improving,99.8,Partial,1,0,Middle,Tertiary,0,2,0,19,0
STU0074,22,Female,Delta,Urban,43,297,7,3.62,Stable,71.7,Owing,0,0,Middle,Tertiary,0,2,0,14,0
STU0075,21,Female,Enugu,Urban,113,185,7,1.61,Improving,80.4,Partial,1,1,Middle,Primary,4,1,0,24,0
STU0076,19,Female,Oyo,Urban,39,295,7,3.9,Improving,92.0,Paid,0,0,Low,No formal,0,2,0,20,0
STU0077,23,Female,Kwara,Rural,79,197,5,2.22,Declining,77.0,Paid,0,0,High,Tertiary,2,2,0,13,0
STU0078,19,Male,Benue,Rural,87,306,5,3.89,Stable,87.8,Partial,1,0,Middle,Secondary,0,0,0,19,0
STU0079,18,Male,Lagos,Urban,99,310,7,4.17,Stable,76.0,Paid,1,0,High,Tertiary,0,2,1,19,0
STU0080,28,Male,Benue,Rural,107,171,6,1.03,Declining,74.0,Paid,0,1,Middle,Secondary,4,2,1,24,1
STU0081,24,Female,Kogi,Urban,81,252,7,1.62,Stable,63.5,Paid,0,0,High,Tertiary,4,3,0,15,1
STU0082,26,Female,Delta,Urban,65,156,5,1.12,Stable,67.1,Paid,0,0,Middle,Secondary,4,2,0,12,1
STU0083,24,Male,Abuja,Urban,102,250,6,2.91,Stable,91.5,Partial,0,0,Middle,Secondary,0,0,0,24,0
STU0084,23,Male,Kwara,Rural,48,339,7,4.16,Improving,86.6,Paid,0,0,Middle,Secondary,0,1,0,12,0
STU0085,19,Male,Rivers,Urban,76,341,5,4.61,Stable,91.6,Paid,1,0,Low,Primary,0,2,0,13,0
STU0086,21,Male,Rivers,Urban,81,261,6,2.57,Declining,65.9,Paid,0,1,High,Tertiary,1,2,0,23,0
STU0087,22,Female,Akwa Ibom,Rural,82,296,8,3.47,Improving,93.3,Paid,0,0,Middle,Secondary,0,0,0,20,0
STU0088,25,Female,Plateau,Rural,298,140,6,1.0,Declining,34.5,Paid,0,1,Low,Secondary,3,1,1,24,1
STU0089,24,Female,Kogi,Urban,128,198,7,1.7,Declining,75.2,Partial,0,0,Middle,Secondary,4,1,0,13,0
STU0090,21,Male,Ogun,Rural,64,231,8,1.68,Declining,62.2,Owing,1,0,Low,Primary,3,1,0,13,0
STU0091,21,Male,Kogi,Urban,110,231,5,2.62,Improving,91.7,Paid,0,0,High,Tertiary,1,1,0,17,0
STU0092,26,Female,Cross River,Urban,145,169,6,1.02,Declining,80.1,Paid,0,1,Low,No formal,2,2,0,18,1
STU0093,20,Female,Enugu,Rural,120,236,7,3.04,Improving,73.9,Partial,1,0,Middle,Tertiary,0,0,0,24,0
STU0094,26,Female,Edo,Rural,130,266,6,2.65,Declining,72.8,Paid,0,0,Low,Primary,0,2,0,18,1
STU0095,20,Female,Kwara,Urban,57,255,6,3.38,Stable,98.7,Paid,1,0,High,Tertiary,0,0,0,24,0
STU0096,18,Male,Kogi,Urban,63,281,6,3.55,Stable,95.8,Paid,0,0,Middle,Tertiary,0,0,0,20,0
STU0097,17,Male,Oyo,Urban,79,370,5,5.0,Declining,100.0,Partial,1,0,High,No formal,0,2,0,17,0
STU0098,25,Male,Cross River,Rural,75,310,7,3.49,Declining,65.0,Partial,0,0,Low,Tertiary,0,3,0,19,0
STU0099,21,Male,Lagos,Rural,132,284,8,3.27,Stable,76.8,Partial,0,0,Middle,Primary,0,0,0,22,0
STU0100,19,Male,Imo,Urban,124,334,6,4.31,Improving,100.0,Partial,1,0,Middle,Primary,0,0,0,17,0
STU0101,17,Male,Plateau,Urban,74,216,6,2.76,Declining,82.1,Paid,0,0,Middle,Tertiary,0,0,1,13,0
STU0102,29,Female,Benue,Urban,147,173,5,1.22,Declining,68.7,Owing,0,0,Middle,Secondary,4,3,0,12,1
STU0103,23,Male,Ogun,Urban,77,337,5,4.18,Stable,95.1,Paid,1,0,Middle,Tertiary,0,0,0,16,0
STU0104,20,Male,Oyo,Urban,34,325,8,4.26,Improving,81.3,Paid,1,0,High,Tertiary,0,2,0,20,0
STU0105,25,Female,Lagos,Urban,91,236,5,1.11,Stable,44.8,Partial,0,0,Low,Primary,3,3,0,19,1
STU0106,21,Male,Kwara,Urban,61,330,5,4.29,Improving,77.2,Paid,0,0,High,Secondary,0,1,0,24,0
STU0107,27,Male,Benue,Rural,53,219,5,1.98,Declining,72.3,Partial,0,0,Middle,Secondary,2,2,1,15,1
STU0108,18,Female,Cross River,Rural,24,252,6,3.37,Improving,83.1,Owing,1,0,Middle,Secondary,0,1,0,16,0
STU0109,24,Male,Rivers,Urban,120,283,6,3.49,Improving,84.9,Partial,0,0,Low,No formal,0,2,0,24,0
STU0110,25,Male,Plateau,Urban,90,231,5,2.1,Improving,89.7,Owing,0,1,Low,Primary,0,1,0,16,1
STU0111,24,Male,Delta,Urban,85,269,5,3.17,Stable,82.2,Paid,0,0,High,Tertiary,0,1,0,17,0
STU0112,21,Male,Niger,Urban,92,274,6,3.13,Improving,71.3,Paid,1,0,High,Tertiary,0,2,0,14,0
STU0113,18,Female,Kogi,Urban,80,301,5,3.83,Declining,89.7,Partial,1,0,High,Tertiary,0,0,0,16,0
STU0114,20,Female,Kogi,Urban,90,262,5,3.69,Improving,100.0,Paid,1,0,High,Secondary,0,1,0,13,0
STU0115,29,Female,Kwara,Urban,85,140,5,1.0,Declining,68.9,Owing,0,0,Low,No formal,2,3,0,21,1
STU0116,23,Female,Oyo,Urban,96,267,6,3.31,Stable,100.0,Paid,1,0,High,Tertiary,0,1,1,12,0
STU0117,22,Female,Imo,Urban,93,184,7,1.82,Stable,82.5,Paid,1,0,High,Tertiary,3,1,1,22,0
STU0118,22,Male,Cross River,Urban,120,228,8,1.98,Declining,93.9,Partial,0,1,Middle,Secondary,2,3,0,12,1
STU0119,25,Female,Oyo,Urban,92,177,6,1.71,Improving,82.8,Paid,0,0,High,Secondary,4,1,1,21,1
STU0120,20,Male,Edo,Rural,104,356,6,4.68,Declining,82.8,Paid,0,0,High,Secondary,0,2,0,18,0
STU0121,25,Female,Kaduna,Rural,62,267,6,2.66,Declining,91.0,Paid,0,0,Middle,Tertiary,2,3,0,13,0
STU0122,26,Female,Delta,Urban,51,201,8,1.97,Stable,74.6,Partial,0,0,Low,Primary,4,2,0,15,0
STU0123,22,Male,Kano,Urban,26,317,7,3.76,Declining,69.1,Partial,1,0,Middle,Secondary,0,0,0,16,0
STU0124,21,Male,Plateau,Urban,103,204,5,2.15,Improving,100.0,Partial,0,0,High,Tertiary,2,0,0,18,0
STU0125,27,Male,Edo,Urban,130,233,7,1.16,Declining,54.5,Owing,0,0,Middle,Secondary,4,1,0,13,1
STU0126,22,Male,Akwa Ibom,Urban,37,274,6,3.51,Improving,83.0,Paid,0,0,Middle,Secondary,0,2,0,17,0
STU0127,25,Female,Osun,Urban,109,179,6,1.69,Declining,71.5,Owing,0,0,Low,Secondary,3,2,0,12,1
STU0128,21,Female,Kano,Urban,81,275,7,3.45,Stable,90.0,Paid,1,0,High,Tertiary,0,0,0,18,0
STU0129,20,Male,Kwara,Urban,8,349,7,5.0,Stable,100.0,Paid,1,0,Middle,Secondary,0,1,0,20,0
STU0130,17,Male,Delta,Urban,74,267,7,3.91,Stable,79.1,Paid,1,0,High,Tertiary,0,0,0,16,0
STU0131,19,Male,Kaduna,Urban,81,338,5,4.55,Stable,100.0,Paid,1,0,High,Tertiary,0,0,0,16,0
STU0132,21,Male,Delta,Urban,17,234,8,2.91,Stable,84.4,Paid,0,0,Middle,Tertiary,0,1,0,15,0
STU0133,27,Male,Ogun,Urban,171,237,7,1.0,Declining,51.8,Paid,0,1,Middle,Secondary,4,2,1,14,1
STU0134,24,Male,Akwa Ibom,Rural,32,247,7,2.26,Declining,90.8,Paid,0,1,Middle,Tertiary,1,2,0,20,0
STU0135,23,Female,Oyo,Urban,133,177,5,1.52,Stable,74.7,Partial,0,0,Low,Secondary,2,2,1,16,1
STU0136,22,Male,Ogun,Urban,15,304,8,3.61,Improving,94.1,Paid,1,1,Middle,Secondary,0,0,0,19,0
STU0137,21,Male,Rivers,Urban,27,210,6,2.28,Improving,80.8,Partial,1,0,Middle,No formal,0,1,0,20,0
STU0138,29,Female,Abuja,Rural,141,173,5,1.0,Declining,62.0,Paid,0,0,Low,Secondary,2,3,0,16,1
STU0139,19,Male,Edo,Urban,71,356,6,4.88,Improving,100.0,Paid,1,0,High,Tertiary,0,0,0,21,0
STU0140,22,Female,Delta,Urban,121,210,8,1.02,Declining,51.8,Paid,1,1,High,Tertiary,4,3,1,20,1
STU0141,26,Female,Delta,Rural,78,280,6,2.36,Declining,73.5,Partial,0,1,Low,No formal,2,1,0,13,1
STU0142,28,Male,Enugu,Rural,148,297,6,3.17,Stable,85.9,Paid,0,0,Middle,Tertiary,0,1,1,20,1
STU0143,25,Male,Benue,Rural,84,171,6,1.0,Declining,65.4,Owing,0,1,Low,Primary,2,3,0,22,1
STU0144,22,Male,Lagos,Urban,123,327,5,3.9,Stable,72.7,Paid,0,0,Low,Primary,0,0,0,15,0
STU0145,27,Male,Rivers,Urban,32,166,6,1.0,Declining,63.2,Partial,0,0,Low,Secondary,2,3,0,17,0
STU0146,20,Male,Ogun,Urban,73,309,5,3.68,Declining,100.0,Paid,0,0,Middle,Secondary,0,0,0,17,0
STU0147,26,Female,Ogun,Rural,88,194,7,1.56,Declining,66.6,Partial,0,1,Low,Secondary,2,2,1,17,0
STU0148,21,Male,Ogun,Rural,111,362,8,4.85,Improving,100.0,Paid,1,0,High,Tertiary,0,0,1,13,0
STU0149,26,Male,Abuja,Rural,80,233,7,2.32,Declining,76.4,Owing,0,0,Low,Secondary,1,3,1,18,1
STU0150,26,Male,Delta,Urban,50,246,6,2.7,Improving,98.9,Paid,0,0,Middle,Secondary,2,1,0,24,0
STU0151,25,Female,Anambra,Urban,38,305,6,3.64,Improving,78.1,Paid,0,0,High,Tertiary,0,1,0,17,0
STU0152,25,Male,Kaduna,Rural,98,140,6,1.0,Stable,45.0,Owing,0,0,Low,Primary,4,2,1,22,1
STU0153,23,Male,Rivers,Rural,41,308,6,3.82,Declining,85.2,Paid,0,0,Middle,Secondary,0,1,0,12,0
STU0154,26,Male,Akwa Ibom,Urban,128,289,6,1.85,Declining,52.6,Owing,0,1,Low,No formal,4,1,0,13,1
STU0155,25,Female,Kano,Rural,88,292,4,2.96,Declining,93.1,Paid,0,0,Middle,Secondary,0,3,0,18,1
STU0156,28,Male,Enugu,Urban,99,311,8,3.41,Stable,78.0,Paid,0,0,High,Tertiary,0,2,0,12,0
STU0157,22,Female,Kwara,Rural,13,363,7,4.89,Improving,100.0,Paid,0,0,Middle,Tertiary,0,2,0,12,0
STU0158,26,Female,Kwara,Urban,86,271,5,3.04,Declining,85.5,Paid,0,0,High,Tertiary,0,2,0,12,0
STU0159,25,Male,Anambra,Urban,105,238,5,1.12,Stable,51.6,Paid,0,0,High,Tertiary,3,2,0,19,1
STU0160,20,Female,Lagos,Urban,95,317,5,4.57,Stable,100.0,Paid,1,0,High,Tertiary,0,2,0,15,0
STU0161,21,Male,Rivers,Urban,81,195,8,2.16,Stable,85.4,Paid,0,0,Middle,Secondary,2,2,0,15,0
STU0162,24,Female,Benue,Rural,82,196,7,1.64,Declining,87.5,Owing,0,0,Low,No formal,4,3,0,24,1
STU0163,21,Female,Kano,Rural,119,241,8,2.8,Stable,71.8,Paid,1,0,High,Tertiary,2,2,0,13,0
STU0164,26,Male,Ogun,Urban,142,239,8,2.1,Declining,65.0,Paid,0,1,Low,No formal,2,1,0,22,0
STU0165,26,Male,Cross River,Rural,159,242,4,1.4,Stable,61.5,Owing,1,0,Low,Primary,3,1,0,22,1
STU0166,21,Female,Imo,Urban,117,186,5,1.87,Improving,72.5,Paid,0,0,High,Tertiary,2,0,1,22,0
STU0167,27,Male,Kwara,Urban,93,211,8,1.32,Stable,61.3,Owing,0,0,Low,Primary,3,3,0,12,1
STU0168,25,Male,Plateau,Urban,112,265,6,2.26,Stable,53.9,Partial,0,0,Low,Primary,2,0,0,23,0
STU0169,25,Male,Imo,Urban,135,323,7,3.01,Improving,60.2,Paid,1,0,High,Tertiary,0,1,0,21,0
STU0170,26,Female,Osun,Urban,180,179,5,1.0,Improving,67.8,Partial,0,1,Low,No formal,4,3,0,20,1
STU0171,25,Female,Ogun,Urban,58,325,6,3.68,Improving,82.7,Paid,1,1,High,Tertiary,0,0,0,18,0
STU0172,20,Male,Oyo,Urban,13,258,7,3.13,Stable,94.6,Paid,1,0,High,Tertiary,0,0,0,15,0
STU0173,24,Male,Enugu,Rural,60,202,5,1.0,Declining,63.7,Owing,0,1,Low,No formal,3,3,0,23,1
STU0174,21,Male,Abuja,Rural,71,346,6,4.59,Declining,91.1,Paid,1,0,High,Tertiary,0,2,0,17,0
STU0175,21,Female,Cross River,Urban,89,212,5,2.58,Improving,100.0,Paid,1,0,High,Tertiary,0,2,0,13,0
STU0176,21,Male,Rivers,Urban,36,335,7,4.34,Stable,100.0,Paid,1,0,Middle,Secondary,0,1,0,18,0
STU0177,22,Female,Osun,Rural,31,336,6,4.21,Improving,94.5,Partial,0,0,Middle,Secondary,0,0,0,13,0
STU0178,21,Male,Imo,Urban,61,280,5,3.39,Improving,86.6,Owing,0,0,Low,Primary,0,1,0,21,0
STU0179,26,Female,Kano,Rural,37,172,5,1.48,Stable,78.8,Partial,0,0,Middle,Primary,2,1,0,19,1
STU0180,20,Male,Kano,Rural,13,270,6,3.3,Declining,89.8,Paid,1,0,High,Tertiary,0,2,0,19,0
STU0181,27,Male,Plateau,Rural,136,222,7,1.88,Stable,71.5,Partial,0,1,Low,Primary,2,1,0,12,0
STU0182,25,Male,Enugu,Urban,41,296,8,3.19,Stable,67.6,Partial,0,0,Low,Secondary,0,3,1,24,0
STU0183,21,Female,Cross River,Urban,33,242,5,3.02,Stable,100.0,Paid,1,0,High,Tertiary,0,0,0,19,0
STU0184,23,Female,Kwara,Urban,139,271,7,2.04,Declining,58.9,Paid,0,0,Low,No formal,1,2,0,13,1
STU0185,25,Male,Niger,Urban,79,178,6,1.47,Stable,85.7,Owing,0,0,Low,No formal,3,1,0,17,1
STU0186,18,Female,Benue,Urban,8,288,5,4.13,Improving,100.0,Paid,1,0,Middle,Secondary,0,2,0,24,0
STU0187,25,Female,Rivers,Urban,34,193,5,1.94,Stable,65.3,Paid,0,0,High,Tertiary,4,1,0,12,0
STU0188,23,Female,Enugu,Urban,49,228,5,2.77,Improving,82.6,Paid,0,0,Middle,Primary,2,1,0,16,0
STU0189,26,Male,Lagos,Rural,88,277,6,1.94,Stable,57.6,Paid,0,0,High,Tertiary,2,1,0,22,1
STU0190,23,Male,Niger,Urban,74,244,5,3.0,Declining,82.4,Paid,0,0,High,Tertiary,0,0,1,18,0
STU0191,20,Male,Edo,Rural,89,273,5,3.74,Declining,92.1,Paid,0,0,Low,Secondary,0,1,0,24,0
STU0192,20,Female,Plateau,Urban,31,279,6,3.31,Improving,76.0,Paid,0,0,High,Tertiary,0,0,0,21,0
STU0193,18,Female,Cross River,Urban,101,267,5,3.48,Improving,89.7,Paid,1,0,Middle,No formal,0,2,0,12,0
STU0194,24,Female,Anambra,Urban,140,238,7,2.37,Declining,71.2,Partial,0,0,Middle,Secondary,2,3,0,13,1
STU0195,21,Male,Kwara,Urban,84,230,6,2.91,Stable,99.3,Paid,0,0,High,Tertiary,0,0,0,18,0
STU0196,23,Male,Imo,Urban,21,304,8,3.66,Declining,79.8,Partial,1,0,Middle,Tertiary,0,1,0,17,0
STU0197,25,Female,Plateau,Rural,64,197,5,1.5,Stable,66.7,Paid,0,0,Middle,Secondary,2,1,0,14,1
STU0198,24,Female,Delta,Urban,54,278,5,2.84,Stable,68.9,Partial,0,0,Middle,Primary,0,2,1,21,0
STU0199,24,Female,Abuja,Urban,89,292,8,2.99,Stable,81.7,Partial,0,1,Middle,Secondary,2,2,0,13,0
STU0200,25,Female,Oyo,Urban,110,193,6,2.11,Stable,84.0,Paid,0,0,High,Tertiary,0,2,0,21,0
STU0201,23,Female,Enugu,Urban,116,192,5,1.89,Declining,70.9,Paid,0,0,Middle,Secondary,2,0,0,15,0
STU0202,26,Male,Kaduna,Urban,103,188,6,1.0,Declining,64.6,Owing,0,0,Low,Primary,4,2,0,14,1
STU0203,20,Male,Lagos,Rural,94,216,7,2.79,Declining,95.9,Paid,1,0,High,No formal,2,1,0,18,0
STU0204,23,Female,Kaduna,Rural,99,173,5,1.13,Stable,84.5,Partial,0,1,Low,No formal,2,2,0,19,1
STU0205,18,Female,Niger,Urban,122,280,7,3.75,Stable,92.9,Paid,1,0,High,Tertiary,0,1,0,13,0
STU0206,22,Male,Kwara,Urban,56,261,5,2.81,Declining,68.1,Owing,0,0,Low,No formal,1,3,0,21,0
STU0207,21,Male,Edo,Rural,41,336,7,4.55,Stable,92.7,Partial,1,0,Middle,Secondary,0,2,0,18,0
STU0208,29,Female,Edo,Urban,178,169,7,1.0,Stable,52.8,Paid,0,0,High,Tertiary,4,3,0,19,1
STU0209,22,Male,Benue,Rural,31,259,7,2.7,Declining,66.2,Partial,0,0,Low,No formal,1,3,0,17,0
STU0210,19,Male,Rivers,Urban,50,369,6,5.0,Stable,86.2,Partial,0,0,High,Tertiary,0,2,0,17,0
STU0211,23,Male,Ogun,Rural,31,243,5,2.78,Stable,79.6,Paid,0,0,Middle,Primary,0,0,1,21,0
STU0212,19,Female,Kaduna,Urban,48,202,6,2.4,Improving,90.6,Partial,1,0,Middle,Secondary,0,0,1,12,0
STU0213,23,Female,Rivers,Rural,37,307,7,3.95,Stable,78.9,Owing,1,0,Middle,Secondary,0,2,0,15,0
STU0214,21,Male,Plateau,Urban,120,308,5,3.65,Stable,71.5,Paid,1,0,Middle,Secondary,0,1,0,12,0
STU0215,19,Female,Kogi,Urban,56,329,7,4.38,Improving,83.7,Paid,1,0,High,Tertiary,0,1,0,15,0
STU0216,27,Male,Delta,Rural,57,310,8,2.33,Declining,59.0,Owing,1,1,Low,Primary,0,1,0,13,0
STU0217,24,Male,Benue,Urban,136,211,8,1.24,Improving,64.0,Paid,0,0,Middle,Secondary,2,1,0,22,0
